Old SGV properties and classes,Was used in classes,Amended and new SGV properties and classes,Will be used in classes,EN,DE,FR,IT,Mapping to external vocabularies (mainly Schema.org),PIA JSON API Endpoint,PIA JSON API Path, Linked Art Property/Class/Pattern (CIDOC-CRM)
,,hasColleague,Agent,Colleague(s),Kolleginnen und Kollegen,Collègues,Colleghi,schema:colleague,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,knows,Agent,knows,kennt,connaît,,schema:knows,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,performerIn,Agent,has performed at the event,ist bei dem Event aufgetreten,s'est produit-e lors de l'événement,,schema:performerIn,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,isLocated,Agent,Organisation's headquarters,Hauptsitz der Organisation,Siège de l'organisation,Sede dell'organizzazione,schema:location,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasGivenName,Agent,Given Name,Vorname,Prénom,Nome,schema:givenName,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasFamilyName,Agent,Family Name,Familienname,Nom de famille,Cognome,schema:familyName,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasNationality,Agent,Nationality,Nationalität,Nationalité,Nazionalità,schema:nationality,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasPrefLabel,Concept,Preferred label,Bevorzugtes Label,Terme préféré/retenu,,skos:prefLabel,The endpoint not yet deployed,,
,,hasAltLabel,Concept,Alternative label,Alternatives Label,Terme non descripteur (rejeté),,skos:altLabel,The endpoint not yet deployed,,
,,hasScopeNote,Concept,Scope note,,,,skos:scopeNote,The endpoint not yet deployed,,
,,hasBroaderConcept,Concept,Broader concept,,,,skos:broader,The endpoint not yet deployed,,
,,hasNarrowerConcept,Concept,Narrower concept,,,,skos:narrower,The endpoint not yet deployed,,
,,inScheme,Concept,in Scheme,,,,skos:inScheme,The endpoint not yet deployed,,
,,topConceptOf,Concept,is a top concept of,,,,skos:topConceptOf,The endpoint not yet deployed,,
,,hasCloseMatch,Concept,Close match,,,,skos:closeMatch,The endpoint not yet deployed,,
,,hasRelatedConcept,Concept,has related concept,Verwandtes Konzept,Terme associé,,skos:related,The endpoint not yet deployed,,
,,hasSubEvent,Event,has as sub-event(s),hat als Subevent(s),a comme sous-événement(s),,schema:subEvent,The endpoint not yet deployed,,
,,hasSuperEvent,Event,is part of the event,ist Teil des Events,fait partie de l'événement,,schema:superEvent,The endpoint not yet deployed,,
,,hasEventType,Event,Event Type,Art des Events,Type d'événement,,,The endpoint not yet deployed,,
,,recordedIn,Event,Recorded object,Aufgezeichnete Objekte,Objet(s) répertorié(s),,schema:recordedIn,The endpoint not yet deployed,,
,,hasWorkFeatured,Event,Work featured,Vorgestelltes Werk,Objets présentés,,schema:workFeatured,The endpoint not yet deployed,,
,,hasDataset,Object,Dataset,Datensatz,Set de données,,schema:isPartOf,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,sameAs,"Concept, Agent",Same as,Gleiche Ressource,Ressource similaire,,schema:sameAs,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,equivalent
